RegionID,RegionName,State,City,Metro,2022-10-31,bedrooms,Region,State Name
112345,Maryvale,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",165351.0,1,West,Arizona
111818,Deer Valley,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",219064.0,1,West,Arizona
112547,Paradise Valley,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",299389.0,1,West,Arizona
267955,North Mountain,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",211892.0,1,West,Arizona
267908,Camelback East,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",254820.0,1,West,Arizona
272734,Alhambra,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",191528.0,1,West,Arizona
267971,South Mountain,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",229288.0,1,West,Arizona
273652,Estrella,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",260922.0,1,West,Arizona
267900,Ahwatukee Foothills,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",260847.0,1,West,Arizona
267926,Encanto,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",278840.0,1,West,Arizona
267912,Central City,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",368282.0,1,West,Arizona
267919,Desert View,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",320894.0,1,West,Arizona
111617,Casas Adobes,AZ,Tucson,"Tucson, AZ",173853.0,1,West,Arizona
111627,Catalina Foothills,AZ,Tucson,"Tucson, AZ",244857.0,1,West,Arizona
111854,Dobson Ranch,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",225179.0,1,West,Arizona
273229,Cherry Avenue,AZ,Tucson,"Tucson, AZ",136903.0,1,West,Arizona
112840,Scottsdale Ranch,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",310356.0,1,West,Arizona
416900,Broadway Pantano East,AZ,Tucson,"Tucson, AZ",157052.0,1,West,Arizona
822450,Grayhawk,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",341207.0,1,West,Arizona
274949,Palo Verde,AZ,Tucson,"Tucson, AZ",276128.0,1,West,Arizona
274158,Julia Keen,AZ,Tucson,"Tucson, AZ",239397.0,1,West,Arizona
273956,Hedrick Acres,AZ,Tucson,"Tucson, AZ",127836.0,1,West,Arizona
417942,Sunland Village East,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",282035.0,1,West,Arizona
276541,Riverside,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",229832.0,1,West,Arizona
274824,West Rio,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",309010.0,1,West,Arizona
272797,Armory Park,AZ,Tucson,"Tucson, AZ",318981.0,1,West,Arizona
761711,Woodlands Village,AZ,Flagstaff,"Flagstaff, AZ",269010.0,1,West,Arizona
163111,Tanglewood,AZ,Flagstaff,"Flagstaff, AZ",318807.0,1,West,Arizona
112345,Maryvale,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",250160.0,2,West,Arizona
111818,Deer Valley,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",323024.0,2,West,Arizona
112547,Paradise Valley,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",360335.0,2,West,Arizona
267955,North Mountain,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",295715.0,2,West,Arizona
267908,Camelback East,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",367278.0,2,West,Arizona
272734,Alhambra,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",274602.0,2,West,Arizona
267971,South Mountain,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",302139.0,2,West,Arizona
273652,Estrella,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",251902.0,2,West,Arizona
267900,Ahwatukee Foothills,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",372073.0,2,West,Arizona
112261,Laveen,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",340284.0,2,West,Arizona
267926,Encanto,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",423192.0,2,West,Arizona
267912,Central City,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",390876.0,2,West,Arizona
267919,Desert View,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",474459.0,2,West,Arizona
111617,Casas Adobes,AZ,Tucson,"Tucson, AZ",305294.0,2,West,Arizona
396588,Flowing Wells,AZ,Tucson,"Tucson, AZ",202952.0,2,West,Arizona
111869,Drexel Heights,AZ,Tucson,"Tucson, AZ",224977.0,2,West,Arizona
111627,Catalina Foothills,AZ,Tucson,"Tucson, AZ",387039.0,2,West,Arizona
267954,North Gateway,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",426608.0,2,West,Arizona
805307,Arrowhead Ranch,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",358239.0,2,West,Arizona
113036,Tanque Verde,AZ,Tucson,"Tucson, AZ",489758.0,2,West,Arizona
275179,Rita Ranch,AZ,Tucson,"Tucson, AZ",290683.0,2,West,Arizona
274529,Midvale Park,AZ,Tucson,"Tucson, AZ",221983.0,2,West,Arizona
14041,Sun Lakes,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",482980.0,2,West,Arizona
417895,The Groves,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",296966.0,2,West,Arizona
275621,Sunnyside,AZ,Tucson,"Tucson, AZ",210705.0,2,West,Arizona
111854,Dobson Ranch,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",298050.0,2,West,Arizona
417897,Reed Park,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",347998.0,2,West,Arizona
113128,Tucson Estates,AZ,Tucson,"Tucson, AZ",236901.0,2,West,Arizona
805309,O'Neil Ranch,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",189261.0,2,West,Arizona
417935,Superstition Springs,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",363916.0,2,West,Arizona
273631,Elvira,AZ,Tucson,"Tucson, AZ",212419.0,2,West,Arizona
273229,Cherry Avenue,AZ,Tucson,"Tucson, AZ",194245.0,2,West,Arizona
273470,Dietz,AZ,Tucson,"Tucson, AZ",220085.0,2,West,Arizona
417912,Las Sendas,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",454537.0,2,West,Arizona
272768,Amphi,AZ,Tucson,"Tucson, AZ",205984.0,2,West,Arizona
112354,McDowell Mountain,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",684696.0,2,West,Arizona
417851,Alta Mesa,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",357314.0,2,West,Arizona
417715,Ocotillo,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",502297.0,2,West,Arizona
762824,Historic Avondale,AZ,Avondale,"Phoenix-Mesa-Chandler, AZ",251484.0,2,West,Arizona
112840,Scottsdale Ranch,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",510141.0,2,West,Arizona
417648,The Islands,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",401269.0,2,West,Arizona
274496,Menlo Park,AZ,Tucson,"Tucson, AZ",186930.0,2,West,Arizona
417700,Lyon's Gate,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",429903.0,2,West,Arizona
274525,Garden District,AZ,Tucson,"Tucson, AZ",247487.0,2,West,Arizona
273345,Corbett,AZ,Tucson,"Tucson, AZ",213500.0,2,West,Arizona
417542,Val Vista Lakes,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",377115.0,2,West,Arizona
203441,Seville,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",515461.0,2,West,Arizona
273122,Campus Farm,AZ,Tucson,"Tucson, AZ",240554.0,2,West,Arizona
417713,Amberwood North,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",317891.0,2,West,Arizona
275439,South Harrison,AZ,Tucson,"Tucson, AZ",198887.0,2,West,Arizona
417946,Augusta Ranch,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",350247.0,2,West,Arizona
112968,Summer Place Village,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",365439.0,2,West,Arizona
274631,Myers,AZ,Tucson,"Tucson, AZ",220593.0,2,West,Arizona
822438,Park Scottsdale,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",385896.0,2,West,Arizona
276357,Groves Lincoln Park,AZ,Tucson,"Tucson, AZ",169529.0,2,West,Arizona
416900,Broadway Pantano East,AZ,Tucson,"Tucson, AZ",268090.0,2,West,Arizona
276590,Stella Mann,AZ,Tucson,"Tucson, AZ",196900.0,2,West,Arizona
274249,Lakeside Park,AZ,Tucson,"Tucson, AZ",271215.0,2,West,Arizona
816547,Yuma Townsite,AZ,Yuma,"Yuma, AZ",183550.0,2,West,Arizona
417728,The Provinces,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",370587.0,2,West,Arizona
276401,Keeling,AZ,Tucson,"Tucson, AZ",210427.0,2,West,Arizona
275684,Terra Del Sol,AZ,Tucson,"Tucson, AZ",135113.0,2,West,Arizona
822450,Grayhawk,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",553082.0,2,West,Arizona
274949,Palo Verde,AZ,Tucson,"Tucson, AZ",285247.0,2,West,Arizona
811073,Westbrook Village,AZ,Peoria,"Phoenix-Mesa-Chandler, AZ",422742.0,2,West,Arizona
417914,Desert Uplands,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",598421.0,2,West,Arizona
267927,Escalante,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",323431.0,2,West,Arizona
417870,Park of the Canals,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",324608.0,2,West,Arizona
417815,Mesa Grande,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",277113.0,2,West,Arizona
267902,Alegre Community,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",305322.0,2,West,Arizona
417885,Kleinman Park,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",284203.0,2,West,Arizona
267967,Sam Hughes,AZ,Tucson,"Tucson, AZ",416469.0,2,West,Arizona
274158,Julia Keen,AZ,Tucson,"Tucson, AZ",207655.0,2,West,Arizona
275903,Wakefield,AZ,Tucson,"Tucson, AZ",187724.0,2,West,Arizona
276037,Westside Development,AZ,Tucson,"Tucson, AZ",224385.0,2,West,Arizona
417930,Sunland Village,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",360671.0,2,West,Arizona
275996,West University,AZ,Tucson,"Tucson, AZ",332571.0,2,West,Arizona
811058,Country Meadows,AZ,Peoria,"Phoenix-Mesa-Chandler, AZ",286700.0,2,West,Arizona
273940,Harrison East-South,AZ,Tucson,"Tucson, AZ",265036.0,2,West,Arizona
273956,Hedrick Acres,AZ,Tucson,"Tucson, AZ",236614.0,2,West,Arizona
111814,DC Ranch,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",1137017.0,2,West,Arizona
274306,Limberlost,AZ,Tucson,"Tucson, AZ",247781.0,2,West,Arizona
275628,Sunset,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",286188.0,2,West,Arizona
417850,Encanto,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",340619.0,2,West,Arizona
267946,Meyer Park,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",321226.0,2,West,Arizona
267978,Tempe Royal Estates,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",326048.0,2,West,Arizona
276214,Blenman-Elm,AZ,Tucson,"Tucson, AZ",365665.0,2,West,Arizona
112661,Pueblo Gardens,AZ,Tucson,"Tucson, AZ",210705.0,2,West,Arizona
275008,Pepperwood,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",334512.0,2,West,Arizona
272713,A Mountain,AZ,Tucson,"Tucson, AZ",178637.0,2,West,Arizona
274551,Miramonte,AZ,Tucson,"Tucson, AZ",256507.0,2,West,Arizona
275451,South Park,AZ,Tucson,"Tucson, AZ",204005.0,2,West,Arizona
111972,Fountain of the Sun,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",351574.0,2,West,Arizona
112275,Leisure World,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",359446.0,2,West,Arizona
417580,Trilogy,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",550894.0,2,West,Arizona
417955,Sunland Springs Village,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",464613.0,2,West,Arizona
267437,Sunnyside,AZ,Flagstaff,"Flagstaff, AZ",369037.0,2,West,Arizona
274137,Jefferson Park,AZ,Tucson,"Tucson, AZ",340707.0,2,West,Arizona
113238,Westgreen Estates,AZ,Peoria,"Phoenix-Mesa-Chandler, AZ",280015.0,2,West,Arizona
807013,Hearthstone,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",398588.0,2,West,Arizona
273268,Civano,AZ,Tucson,"Tucson, AZ",330179.0,2,West,Arizona
417766,Twelve Oaks,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",383258.0,2,West,Arizona
273020,Bravo Park Lane,AZ,Tucson,"Tucson, AZ",208432.0,2,West,Arizona
276198,Barrio Hollywood,AZ,Tucson,"Tucson, AZ",217212.0,2,West,Arizona
275176,Rincon Heights,AZ,Tucson,"Tucson, AZ",336391.0,2,West,Arizona
807015,Via De Cielo,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",388173.0,2,West,Arizona
811061,Desert Harbor,AZ,Peoria,"Phoenix-Mesa-Chandler, AZ",337389.0,2,West,Arizona
274549,Miracle Manor,AZ,Tucson,"Tucson, AZ",191080.0,2,West,Arizona
417719,Carino Estates,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",445119.0,2,West,Arizona
274882,Old Fort Lowell,AZ,Tucson,"Tucson, AZ",310960.0,2,West,Arizona
417942,Sunland Village East,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",399109.0,2,West,Arizona
805355,Thunderbird Palms,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",242537.0,2,West,Arizona
273714,Feldman's,AZ,Tucson,"Tucson, AZ",314122.0,2,West,Arizona
115326,Golden Hills,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",372095.0,2,West,Arizona
417877,Fiesta Park Village,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",276891.0,2,West,Arizona
417733,Springfield Lakes,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",480697.0,2,West,Arizona
805358,The Lakes,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",339933.0,2,West,Arizona
273616,El G.H.E.K.O.,AZ,Tucson,"Tucson, AZ",282035.0,2,West,Arizona
811011,Ventana Lakes,AZ,Peoria,"Phoenix-Mesa-Chandler, AZ",388225.0,2,West,Arizona
274829,Oak Flower,AZ,Tucson,"Tucson, AZ",215917.0,2,West,Arizona
275542,St. Cyrils,AZ,Tucson,"Tucson, AZ",240321.0,2,West,Arizona
417911,Red Mountain Ranch,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",510505.0,2,West,Arizona
272805,Arroyo Chico,AZ,Tucson,"Tucson, AZ",223796.0,2,West,Arizona
410405,C.A.N.D.O.,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",282043.0,2,West,Arizona
805305,Bethany Heights,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",185889.0,2,West,Arizona
273676,Fairgrounds,AZ,Tucson,"Tucson, AZ",175886.0,2,West,Arizona
275091,Prince Tucson,AZ,Tucson,"Tucson, AZ",286745.0,2,West,Arizona
274701,North Dodge,AZ,Tucson,"Tucson, AZ",253640.0,2,West,Arizona
273319,Colonia Del Valle,AZ,Tucson,"Tucson, AZ",236338.0,2,West,Arizona
275013,Peter Howell,AZ,Tucson,"Tucson, AZ",315309.0,2,West,Arizona
822451,Troon North,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",820074.0,2,West,Arizona
276541,Riverside,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",374348.0,2,West,Arizona
276364,Harlan Heights,AZ,Tucson,"Tucson, AZ",253967.0,2,West,Arizona
276298,Dodge Flower,AZ,Tucson,"Tucson, AZ",230756.0,2,West,Arizona
262736,Dexter,AZ,Prescott,"Prescott Valley-Prescott, AZ",336703.0,2,West,Arizona
276419,Las Vistas,AZ,Tucson,"Tucson, AZ",189441.0,2,West,Arizona
113116,Troon,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",826667.0,2,West,Arizona
417899,Casa de Sol,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",332970.0,2,West,Arizona
275242,Rose,AZ,Tucson,"Tucson, AZ",206234.0,2,West,Arizona
273475,Doolen-Fruitvale,AZ,Tucson,"Tucson, AZ",240300.0,2,West,Arizona
273102,Cabrini,AZ,Tucson,"Tucson, AZ",214289.0,2,West,Arizona
761732,Country Club Estates,AZ,Flagstaff,"Flagstaff, AZ",519247.0,2,West,Arizona
417608,Via Sorento,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",399561.0,2,West,Arizona
805296,Villagio at Tempe,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",402742.0,2,West,Arizona
275254,Rosemont West,AZ,Tucson,"Tucson, AZ",252506.0,2,West,Arizona
417932,Camino del Rey,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",309223.0,2,West,Arizona
417732,Sunbird,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",361822.0,2,West,Arizona
275892,Vista Del Monte,AZ,Tucson,"Tucson, AZ",243769.0,2,West,Arizona
267985,Wood Park,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",353460.0,2,West,Arizona
273641,Enchanted Hills,AZ,Tucson,"Tucson, AZ",199376.0,2,West,Arizona
822458,Winfield,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",789778.0,2,West,Arizona
417853,Rancho del Lago,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",392290.0,2,West,Arizona
274609,Mountain First Avenue,AZ,Tucson,"Tucson, AZ",284738.0,2,West,Arizona
112342,Marlborough Mesa,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",319262.0,2,West,Arizona
273435,Dava-Lakeshore,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",404648.0,2,West,Arizona
111413,Apache Wells,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",396830.0,2,West,Arizona
822434,Stonegate,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",720282.0,2,West,Arizona
822463,Sundown Ranch,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",670288.0,2,West,Arizona
417543,Park Village,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",340320.0,2,West,Arizona
276195,Avondale,AZ,Tucson,"Tucson, AZ",242522.0,2,West,Arizona
822442,Legend Trail,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",736016.0,2,West,Arizona
761709,University Heights/Highlands,AZ,Flagstaff,"Flagstaff, AZ",331590.0,2,West,Arizona
822437,Villa Monterey,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",466803.0,2,West,Arizona
275644,Swan Way Park,AZ,Tucson,"Tucson, AZ",255354.0,2,West,Arizona
274799,Northwest,AZ,Tucson,"Tucson, AZ",280883.0,2,West,Arizona
811063,Countrybrook Meadows,AZ,Peoria,"Phoenix-Mesa-Chandler, AZ",324668.0,2,West,Arizona
275286,San Gabriel,AZ,Tucson,"Tucson, AZ",252385.0,2,West,Arizona
274214,La Madera,AZ,Tucson,"Tucson, AZ",290160.0,2,West,Arizona
276465,Mountain View,AZ,Tucson,"Tucson, AZ",226992.0,2,West,Arizona
822461,Trails at Scottsdale,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",489683.0,2,West,Arizona
274824,West Rio,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",391768.0,2,West,Arizona
275279,Samos,AZ,Tucson,"Tucson, AZ",307344.0,2,West,Arizona
273372,Country Glenn,AZ,Tucson,"Tucson, AZ",301038.0,2,West,Arizona
272797,Armory Park,AZ,Tucson,"Tucson, AZ",426424.0,2,West,Arizona
111987,Gainey Ranch,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",851027.0,2,West,Arizona
113305,Woodglen,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",307168.0,2,West,Arizona
417861,Royal Palms,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",342662.0,2,West,Arizona
276234,Campbell-Grant,AZ,Tucson,"Tucson, AZ",324884.0,2,West,Arizona
822448,Ironwood Village,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",683533.0,2,West,Arizona
274822,Marlborough Park,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",444059.0,2,West,Arizona
417548,The Gardens,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",360385.0,2,West,Arizona
274421,Marilyn Ann,AZ,Tempe,"Phoenix-Mesa-Chandler, AZ",314056.0,2,West,Arizona
417840,Southern Manor I and II,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",236393.0,2,West,Arizona
761729,Forest Springs,AZ,Flagstaff,"Flagstaff, AZ",400167.0,2,West,Arizona
275061,Poets Square,AZ,Tucson,"Tucson, AZ",273144.0,2,West,Arizona
414571,Springfield,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",402258.0,2,West,Arizona
811074,Sun Air Estates,AZ,Peoria,"Phoenix-Mesa-Chandler, AZ",248339.0,2,West,Arizona
761711,Woodlands Village,AZ,Flagstaff,"Flagstaff, AZ",357271.0,2,West,Arizona
805293,Olive Green Villas,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",239051.0,2,West,Arizona
417855,Camelot Estates,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",360800.0,2,West,Arizona
816494,Del Valle Terrace,AZ,Yuma,"Yuma, AZ",206450.0,2,West,Arizona
417833,Park Center Place,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",382267.0,2,West,Arizona
276589,Starr Pass,AZ,Tucson,"Tucson, AZ",285618.0,2,West,Arizona
417750,Sunridge,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",372111.0,2,West,Arizona
816560,Mesa Heights,AZ,Yuma,"Yuma, AZ",177949.0,2,West,Arizona
417882,Continental Townhouses,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",278463.0,2,West,Arizona
417845,The Wells,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",330274.0,2,West,Arizona
112098,Heatherbrook,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",431335.0,2,West,Arizona
417573,Val Vista Classic,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",375480.0,2,West,Arizona
822453,Bellasera,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",762638.0,2,West,Arizona
417916,Moondance,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",344974.0,2,West,Arizona
805367,Chaparral Ranch,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",317517.0,2,West,Arizona
816472,Sunset Mountain Villas,AZ,Yuma,"Yuma, AZ",253405.0,2,West,Arizona
113016,Sun View,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",326592.0,2,West,Arizona
417931,Greenwood Glen,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",308414.0,2,West,Arizona
112983,Suncrest Villas Chandler,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",355266.0,2,West,Arizona
275253,Rosemont East,AZ,Tucson,"Tucson, AZ",335525.0,2,West,Arizona
275796,Udall Park,AZ,Tucson,"Tucson, AZ",281791.0,2,West,Arizona
163111,Tanglewood,AZ,Flagstaff,"Flagstaff, AZ",386224.0,2,West,Arizona
761716,Flagstaff Townsite,AZ,Flagstaff,"Flagstaff, AZ",467265.0,2,West,Arizona
112345,Maryvale,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",286024.0,3,West,Arizona
111818,Deer Valley,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",406536.0,3,West,Arizona
112547,Paradise Valley,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",504812.0,3,West,Arizona
267955,North Mountain,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",362220.0,3,West,Arizona
267908,Camelback East,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",603316.0,3,West,Arizona
272734,Alhambra,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",326071.0,3,West,Arizona
267971,South Mountain,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",344407.0,3,West,Arizona
273652,Estrella,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",362410.0,3,West,Arizona
267900,Ahwatukee Foothills,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",481309.0,3,West,Arizona
112261,Laveen,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",392791.0,3,West,Arizona
267926,Encanto,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",482207.0,3,West,Arizona
267912,Central City,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",322062.0,3,West,Arizona
267919,Desert View,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",613107.0,3,West,Arizona
111617,Casas Adobes,AZ,Tucson,"Tucson, AZ",359538.0,3,West,Arizona
396588,Flowing Wells,AZ,Tucson,"Tucson, AZ",277344.0,3,West,Arizona
111869,Drexel Heights,AZ,Tucson,"Tucson, AZ",276844.0,3,West,Arizona
111627,Catalina Foothills,AZ,Tucson,"Tucson, AZ",705556.0,3,West,Arizona
267954,North Gateway,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",534556.0,3,West,Arizona
805307,Arrowhead Ranch,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",489222.0,3,West,Arizona
113036,Tanque Verde,AZ,Tucson,"Tucson, AZ",580743.0,3,West,Arizona
275179,Rita Ranch,AZ,Tucson,"Tucson, AZ",324369.0,3,West,Arizona
274529,Midvale Park,AZ,Tucson,"Tucson, AZ",274297.0,3,West,Arizona
14041,Sun Lakes,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",552406.0,3,West,Arizona
417895,The Groves,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",441898.0,3,West,Arizona
275621,Sunnyside,AZ,Tucson,"Tucson, AZ",239274.0,3,West,Arizona
111854,Dobson Ranch,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",452622.0,3,West,Arizona
417897,Reed Park,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",340357.0,3,West,Arizona
417579,Power Ranch,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",493881.0,3,West,Arizona
113128,Tucson Estates,AZ,Tucson,"Tucson, AZ",343421.0,3,West,Arizona
805309,O'Neil Ranch,AZ,Glendale,"Phoenix-Mesa-Chandler, AZ",308717.0,3,West,Arizona
807394,Adora Trails,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",563843.0,3,West,Arizona
417935,Superstition Springs,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",456577.0,3,West,Arizona
273631,Elvira,AZ,Tucson,"Tucson, AZ",239173.0,3,West,Arizona
273229,Cherry Avenue,AZ,Tucson,"Tucson, AZ",241354.0,3,West,Arizona
208248,Bella Vista,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",583575.0,3,West,Arizona
273470,Dietz,AZ,Tucson,"Tucson, AZ",295903.0,3,West,Arizona
417912,Las Sendas,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",597501.0,3,West,Arizona
272768,Amphi,AZ,Tucson,"Tucson, AZ",238390.0,3,West,Arizona
112354,McDowell Mountain,AZ,Scottsdale,"Phoenix-Mesa-Chandler, AZ",842740.0,3,West,Arizona
